"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"10328",10328,"1888-1889","https://gallica.bnf.fr/ark:/12148/cb32805215t/date","Paris","La Lanterne japonaise ",1,"cb32805215t",30,"1888-10","1888-10","1888-10-01","1888-10-31",FALSE
"10329",10329,"1923-1927","https://gallica.bnf.fr/ark:/12148/cb32805317s/date","Tananarive, Tananarive","Latitude sud 18° ",12,"cb32805317s",1126,"1923-11","1926-12-01","1923-11-01","1926-12-01",FALSE
"10330",10330,"1906-1914","https://gallica.bnf.fr/ark:/12148/cb32805536m/date","Bordeaux","La Lecture française ",76,"cb32805536m",2952,"1906-06-25","1914-07-25","1906-06-25","1914-07-25",FALSE
"10331",10331,"1900-1901","https://gallica.bnf.fr/ark:/12148/cb328056764/date","Paris","La Légion française",8,"cb328056764",167,"1900-11-15","1901-05-01","1900-11-15","1901-05-01",FALSE
"10332",10332,"1817-1820","https://gallica.bnf.fr/ark:/12148/cb32806230z/date","Paris, Paris","Lettres normandes",30,"cb32806230z",984,"1818","1820-09-11","1818-01-01","1820-09-11",FALSE
"10333",10333,"1941-1944","https://gallica.bnf.fr/ark:/12148/cb32806584q/date","S. l.","Libération",55,"cb32806584q",1127,"1941-07","1944-08-01","1941-07-01","1944-08-01",FALSE
"10334",10334,"1792-1793","https://gallica.bnf.fr/ark:/12148/cb32806175n/date","","Lettres de Maximilien Robespierre",22,"cb32806175n",365,"1792","1792","1792-01-01","1792-12-31",FALSE
"10335",10335,"1937","https://gallica.bnf.fr/ark:/12148/cb32806401x/date","Paris","La Liaison des télégraphistes",20,"cb32806401x",3378,"1937-10","1946-12","1937-10-01","1946-12-31",FALSE
"10336",10336,"1875-18..","https://gallica.bnf.fr/ark:/12148/cb327513944/date","Paris","Le Courrier financier  ",1,"cb327513944",0,"1875-07-13","1875-07-13","1875-07-13","1875-07-13",FALSE
"10337",10337,"1894-1895","https://gallica.bnf.fr/ark:/12148/cb327486081/date","Paris","La Correspondance catholique ",3,"cb327486081",273,"1894-10-04","1895-07-04","1894-10-04","1895-07-04",FALSE
"10338",10338,"1906-1908","https://gallica.bnf.fr/ark:/12148/cb32757414c/date","Paris","Dilecta  ",1,"cb32757414c",0,"1907-07-01","1907-07-01","1907-07-01","1907-07-01",FALSE
"10339",10339,"1929-1930","https://gallica.bnf.fr/ark:/12148/cb32805089t/date","Lannion","Lannion socialiste ",4,"cb32805089t",NA,"1929-12-01","1930-02","1929-12-01","1930-02-31",FALSE
"10340",10340,"1938-1941","https://gallica.bnf.fr/ark:/12148/cb34450499n/date","México","Taller ",11,"cb34450499n",NA,"1938-11","1941-02","1938-11-01","1941-02-31",FALSE
"10341",10341,"18??","https://gallica.bnf.fr/ark:/12148/cb32806686p/date","Alger","Liberté",70,"cb32806686p",122,"1899-07-06","1899-11-05","1899-07-06","1899-11-05",FALSE
"10342",10342,"19??","https://gallica.bnf.fr/ark:/12148/cb328067143/date","Oran","Liberté",398,"cb328067143",562,"1904-06-12","1905-12-26","1904-06-12","1905-12-26",TRUE
"10343",10343,"19??","https://gallica.bnf.fr/ark:/12148/cb32806730b/date","Oran","Liberté",44,"cb32806730b",87,"1906-01-16","1906-04-13","1906-01-16","1906-04-13",FALSE
"10344",10344,"19??","https://gallica.bnf.fr/ark:/12148/cb328067352/date","Alger","Liberté algérienne",77,"cb328067352",499,"1903-08-06","1904-12-17","1903-08-06","1904-12-17",TRUE
"10345",10345,"1888-189.","https://gallica.bnf.fr/ark:/12148/cb32806755p/date","Bône","La Liberté de Bône ",1201,"cb32806755p",1491,"1888-10-11","1892-11-10","1888-10-11","1892-11-10",TRUE
"10346",10346,"1888-1894","https://gallica.bnf.fr/ark:/12148/cb32806743p/date","Paris","La Liberté coloniale ",87,"cb32806743p",2178,"1888-03-11","1894-02-26","1888-03-11","1894-02-26",FALSE
"10347",10347,"1906-1910","https://gallica.bnf.fr/ark:/12148/cb32805608n/date","Paris","Lectures romanesques ",2,"cb32805608n",364,"1907","1907","1907-01-01","1907-12-31",FALSE
"10348",10348,"1886-1889","https://gallica.bnf.fr/ark:/12148/cb32806197z/date","Paris","Les Lettres et les arts ",3,"cb32806197z",NA,"1886-01","1886-04","1886-01-01","1886-04-31",FALSE
"10349",10349,"1979-198?","https://gallica.bnf.fr/ark:/12148/cb34449123j/date","Amiens","Indicateurs économiques et sociaux ",2,"cb34449123j",1825,"1978","1982","1978-01-01","1982-12-31",FALSE
"10350",10350,"1883-1889","https://gallica.bnf.fr/ark:/12148/cb34402185k/date","Paris, Paris","Revue de la Révolution ",1,"cb34402185k",30,"1883-01","1883-01","1883-01-01","1883-01-31",FALSE
"10351",10351,"1940-1941","https://gallica.bnf.fr/ark:/12148/cb328066662/date","Marseille","Liberté  ",7,"cb328066662",310,"1940-11-25","1941-10-01","1940-11-25","1941-10-01",FALSE
"10352",10352,"1905-1908","https://gallica.bnf.fr/ark:/12148/cb328071093/date","Limoges","Le Libre penseur du Centre ",60,"cb328071093",825,"1905-10-29","1908-02-01","1905-10-29","1908-02-01",FALSE
"10353",10353,"1912-19..","https://gallica.bnf.fr/ark:/12148/cb32807415v/date","Limoges","Le Lien ",4,"cb32807415v",NA,"1912-01","1912-04","1912-01-01","1912-04-31",FALSE
"10354",10354,"1872-187.","https://gallica.bnf.fr/ark:/12148/cb32807807b/date","Paris, Paris, Paris","La Ligue des poëtes ",22,"cb32807807b",196,"1872-04-27","1872-11-09","1872-04-27","1872-11-09",FALSE
"10355",10355,"1914-1925","https://gallica.bnf.fr/ark:/12148/cb328078289/date","Paris","La Ligue française",196,"cb328078289",4134,"1914-07","1925-10-25","1914-07-01","1925-10-25",FALSE
"10356",10356,"1873-1947","https://gallica.bnf.fr/ark:/12148/cb32755685z/date","Paris, Melun, Paris","Dénombrement de la population ",1,"cb32755685z",364,"1921","1921","1921-01-01","1921-12-31",FALSE
"10357",10357,"1891-189.","https://gallica.bnf.fr/ark:/12148/cb32807971q/date","Lille","Lille photographe ",3,"cb32807971q",NA,"1891-12","1892-06","1891-12-01","1892-06-31",FALSE
"10358",10358,"1886-1888","https://gallica.bnf.fr/ark:/12148/cb328080468/date","Limoges","Le Limousin littéraire ",99,"cb328080468",694,"1886-03-27","1888-02-19","1886-03-27","1888-02-19",TRUE
"10359",10359,"1910-1910","https://gallica.bnf.fr/ark:/12148/cb328080181/date","Limoges","Limoges universitaire ",8,"cb328080181",152,"1910-04","1910-08","1910-04-01","1910-08-31",FALSE
"10360",10360,"1972-1991","https://gallica.bnf.fr/ark:/12148/cb34438970t/date","Nantes","Bilan annuel Pays de la Loire ",5,"cb34438970t",1460,"1981-11","1985-10","1981-11-01","1985-10-31",FALSE
"10361",10361,"1869-1870","https://gallica.bnf.fr/ark:/12148/cb327486306/date","Paris","Correspondance d'Orient ",1,"cb327486306",0,"1869-03-20","1869-03-20","1869-03-20","1869-03-20",FALSE
"10362",10362,"1903-1939","https://gallica.bnf.fr/ark:/12148/cb34440027g/date","Épinal","Bulletin trimestriel de la Société d'émulation du département des Vosges",11,"cb34440027g",4017,"1920","1930","1920-01-01","1930-12-31",FALSE
"10363",10363,"1754-1759","https://gallica.bnf.fr/ark:/12148/cb344385952/date","Nancy, Nancy","Mémoires de la Société royale des sciences",4,"cb344385952",2190,"1754","1759","1754-01-01","1759-12-31",FALSE
"10364",10364,"1887-1887","https://gallica.bnf.fr/ark:/12148/cb327563156/date","Paris","Les Dernières nouvelles ",1,"cb327563156",364,"1887","1887","1887-01-01","1887-12-31",FALSE
"10365",10365,"18..-18..","https://gallica.bnf.fr/ark:/12148/cb328087168/date","Paris","Livre d'or de l'éducation ",1,"cb328087168",364,"1894","1894","1894-01-01","1894-12-31",FALSE
"10366",10366,"1739-1740","https://gallica.bnf.fr/ark:/12148/cb328061493/date","La Haye","Lettres chinoises ",5,"cb328061493",730,"1739","1740","1739-01-01","1740-12-31",FALSE
"10367",10367,"1944-1944","https://gallica.bnf.fr/ark:/12148/cb32806601g/date","Paris","Libération des XIIe et XIIIe arrondissements de Paris ",3,"cb32806601g",38,"1944-06-24","1944-08-01","1944-06-24","1944-08-01",FALSE
"10368",10368,"1855-1862","https://gallica.bnf.fr/ark:/12148/cb32809285z/date","Bordeaux","La Lorgnette ",178,"cb32809285z",2626,"1855-07-21","1862-09-28","1855-07-21","1862-09-28",FALSE
"10369",10369,"1903-1903","https://gallica.bnf.fr/ark:/12148/cb328055269/date","Metz","La Lecture de la famille ",13,"cb328055269",364,"1903","1903","1903-01-01","1903-12-31",FALSE
"10370",10370,"1907-1907","https://gallica.bnf.fr/ark:/12148/cb328094171/date","Alger","Le Louëtte algérois",253,"cb328094171",2764,"1907-01-06","1914-08-01","1907-01-06","1914-08-01",FALSE
"10371",10371,"1683-1699","https://gallica.bnf.fr/ark:/12148/cb34454103x/date","A Paris","Almanac ",7,"cb34454103x",3286,"1691","1699","1691-01-01","1699-12-31",FALSE
"10372",10372,"1876-1879","https://gallica.bnf.fr/ark:/12148/cb34448406j/date","Paris","Le Fédéré ",1,"cb34448406j",0,"1879-10-19","1879-10-19","1879-10-19","1879-10-19",FALSE
"10373",10373,"1853-1870","https://gallica.bnf.fr/ark:/12148/cb344541226/date","Paris, Paris","Almanach impérial ",15,"cb344541226",5843,"1853","1868","1853-01-01","1868-12-31",FALSE
"10374",10374,"1898","https://gallica.bnf.fr/ark:/12148/cb32809815f/date","Alger","La Lutte antijuive",37,"cb32809815f",107,"1898-02-04","1898-05-22","1898-02-04","1898-05-22",FALSE
"10375",10375,"1941-194.","https://gallica.bnf.fr/ark:/12148/cb328065794/date","","Libération ",11,"cb328065794",364,"1941-06","1942-05","1941-06-01","1942-05-31",FALSE
"10376",10376,"1901-190.","https://gallica.bnf.fr/ark:/12148/cb34400530x/date","Paris","Almanach de la Rampe ",1,"cb34400530x",364,"1901","1901","1901-01-01","1901-12-31",FALSE
"10377",10377,"1908-1997","https://gallica.bnf.fr/ark:/12148/cb328100080/date","Paris","Lyon chirurgical ",117,"cb328100080",12113,"1908-11-01","1941","1908-11-01","1941-12-31",FALSE
"10378",10378,"1926-1935","https://gallica.bnf.fr/ark:/12148/cb32810449p/date","Tananarive","Madagascar ",789,"cb32810449p",3140,"1926-08-07","1935-03-13","1926-08-07","1935-03-13",TRUE
"10379",10379,"1929-1931","https://gallica.bnf.fr/ark:/12148/cb328096612/date","Paris","Lumière et radio ",16,"cb328096612",457,"1929-10-10","1931-01-10","1929-10-10","1931-01-10",FALSE
"10380",10380,"1943","https://gallica.bnf.fr/ark:/12148/cb32805205h/date","S. l.","La Lanterne et la mémoire d'Henri Rochefort",1,"cb32805205h",0,"1943-09-15","1943-09-15","1943-09-15","1943-09-15",FALSE
"10381",10381,"1892-1905","https://gallica.bnf.fr/ark:/12148/cb32810450w/date","Tamatave","Le Madagascar",261,"cb32810450w",4557,"1892-07-03","1904-12-25","1892-07-03","1904-12-25",FALSE
"10382",10382,"19??","https://gallica.bnf.fr/ark:/12148/cb32810455m/date","Tananarive","Madagascar et dépendances",4,"cb32810455m",2191,"1931","1936","1931-01-01","1936-12-31",FALSE
"10383",10383,"1919-1937","https://gallica.bnf.fr/ark:/12148/cb328104904/date","Tananarive","Le Madécasse ",2660,"cb328104904",5163,"1922-12-11","1937-01-29","1922-12-11","1937-01-29",TRUE
"10384",10384,"1802-1803","https://gallica.bnf.fr/ark:/12148/cb32804359g/date","","Kritisches Journal der Philosophie",2,"cb32804359g",729,"1802","1803","1802-01-01","1803-12-31",FALSE
"10385",10385,"1930-1963","https://gallica.bnf.fr/ark:/12148/cb344506051/date","Paris","Association française des femmes médecins",26,"cb344506051",2586,"1933-01","1940-01","1933-01-01","1940-01-31",FALSE
"10386",10386,"1900-1957","https://gallica.bnf.fr/ark:/12148/cb328104548/date","Tananarive","Budget des recettes et des dépenses du Service local ",22,"cb328104548",13513,"1900","1936","1900-01-01","1936-12-31",FALSE
"10387",10387,"19??","https://gallica.bnf.fr/ark:/12148/cb32810458n/date","Tananarive","Madagascar et dépendances",29,"cb32810458n",13148,"1901","1936","1901-01-01","1936-12-31",FALSE
"10388",10388,"19..-19..","https://gallica.bnf.fr/ark:/12148/cb32754621g/date","Bagnolet","La Défense des chômeurs",1,"cb32754621g",NA,"1940-09","1940-09","1940-09-01","1940-09-31",FALSE
"10389",10389,"1792-1816","https://gallica.bnf.fr/ark:/12148/cb32810599h/date","Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris","Magasin encyclopédique",99,"cb32810599h",8855,"1792","1816-03","1792-01-01","1816-03-31",FALSE
"10390",10390,"1937-1948","https://gallica.bnf.fr/ark:/12148/cb34438555t/date","Le Bouscat","La Gironde populaire ",2,"cb34438555t",46,"1941-01-08","1941-02-23","1941-01-08","1941-02-23",FALSE
"10391",10391,"1893","https://gallica.bnf.fr/ark:/12148/cb32811251x/date","Nîmes puis Paris","La Mandoline",49,"cb32811251x",2463,"1893-09","1900-05","1893-09-01","1900-05-31",FALSE
"10392",10392,"1918-1918","https://gallica.bnf.fr/ark:/12148/cb32809265b/date","Jallans, Paris","Le Looping ",4,"cb32809265b",40,"1918-07","1918-08-10","1918-07-01","1918-08-10",FALSE
"10393",10393,"1935-1935","https://gallica.bnf.fr/ark:/12148/cb328114597/date","Charleville","La Marche de la faim ",1,"cb328114597",30,"1935-03","1935-03","1935-03-01","1935-03-31",FALSE
"10394",10394,"1922-1928","https://gallica.bnf.fr/ark:/12148/cb32811295j/date","Lyon","Manomètre",1,"cb32811295j",30,"1922-07","1922-07","1922-07-01","1922-07-31",FALSE
"10395",10395,"1916-1916","https://gallica.bnf.fr/ark:/12148/cb32802499h/date","Paris","Les Journées françaises et l'art national ",2,"cb32802499h",-30,"1916-10","1916-09-01","1916-10-01","1916-09-01",FALSE
"10396",10396,"1871-1871","https://gallica.bnf.fr/ark:/12148/cb328029360/date","Londres","Justice ",2,"cb328029360",364,"1871","1871","1871-01-01","1871-12-31",FALSE
"10397",10397,"1944-1944","https://gallica.bnf.fr/ark:/12148/cb34438815d/date","Paris","Cri d'alarme ",3,"cb34438815d",NA,"1944","1944-04","1944-01-01","1944-04-31",FALSE
"10398",10398,"1873-1874","https://gallica.bnf.fr/ark:/12148/cb32805100h/date","Nouvelle Orléans","La Lanterne ",1,"cb32805100h",0,"1873-09-14","1873-09-14","1873-09-14","1873-09-14",FALSE
"10399",10399,"1921-1948","https://gallica.bnf.fr/ark:/12148/cb32811746q/date","Rabat","Le Maroc catholique",13,"cb32811746q",NA,"1935-01","1937-11","1935-01-01","1937-11-31",FALSE
"10400",10400,"1902","https://gallica.bnf.fr/ark:/12148/cb328120550/date","Mascara, Alger","Mascara Cythère",66,"cb328120550",1967,"1902-07-27","1907-12-15","1902-07-27","1907-12-15",FALSE
"10401",10401,"1914-1915","https://gallica.bnf.fr/ark:/12148/cb328120341/date","Reims","Le Martyre de Reims ",41,"cb328120341",729,"1914","1915","1914-01-01","1915-12-31",FALSE
"10402",10402,"1929-1932","https://gallica.bnf.fr/ark:/12148/cb327518579/date","Paris","La Courte paille ",1,"cb327518579",NA,"1929-11","1929-11","1929-11-01","1929-11-31",FALSE
"10403",10403,"1866-1908","https://gallica.bnf.fr/ark:/12148/cb32849636p/date","Moutiers","Recueil des mémoires et documents de l'Académie de La Val d'Isère",8,"cb32849636p",13877,"1866","1903","1866-01-01","1903-12-31",FALSE
"10404",10404,"19..-19..","https://gallica.bnf.fr/ark:/12148/cb32807911v/date","Paris","Ligue Souvenez vous !",5,"cb32807911v",122,"1923-10","1924-01","1923-10-01","1924-01-31",FALSE
"10405",10405,"1879-1881","https://gallica.bnf.fr/ark:/12148/cb32749074d/date","Pontoise","Le Correspondant mathématique ",1,"cb32749074d",30,"1879-05","1879-05","1879-05-01","1879-05-31",FALSE
"10406",10406,"179.-179.","https://gallica.bnf.fr/ark:/12148/cb32748739k/date","Paris","Correspondance du commerce et des arts",1,"cb32748739k",364,"1800","1800","1800-01-01","1800-12-31",FALSE
"10407",10407,"1944-1944","https://gallica.bnf.fr/ark:/12148/cb34440397g/date","Paris","L'Homme libre ",1,"cb34440397g",30,"1944-08","1944-08","1944-08-01","1944-08-31",FALSE
"10408",10408,"1893-189.","https://gallica.bnf.fr/ark:/12148/cb32807740w/date","Le Mans, Le Mans","Bulletin ",2,"cb32807740w",1460,"1893-01","1896","1893-01-01","1896-12-31",FALSE
"10409",10409,"1944-194.","https://gallica.bnf.fr/ark:/12148/cb328066004/date","France","Libération de Paris ",3,"cb328066004",28,"1944-07-14","1944-08-11","1944-07-14","1944-08-11",FALSE
"10410",10410,"1888-18..","https://gallica.bnf.fr/ark:/12148/cb32811048g/date","Paris","Le Maître de chapelle ",7,"cb32811048g",-92,"1888-09","1888-06-01","1888-09-01","1888-06-01",FALSE
"10411",10411,"1913-1937","https://gallica.bnf.fr/ark:/12148/cb328110861/date","Besançon","Maîtrise de la Métropole ",11,"cb328110861",9130,"1913","1937","1913-01-01","1937-12-31",FALSE
"10412",10412,"1943","https://gallica.bnf.fr/ark:/12148/cb32811376j/date","S. l.","Maquis",2,"cb32811376j",54,"1943-04","1943-05-25","1943-04-01","1943-05-25",FALSE
"10413",10413,"1891-1892","https://gallica.bnf.fr/ark:/12148/cb32810620h/date","Paris","Magasin littéraire",1,"cb32810620h",364,"1891","1891","1891-01-01","1891-12-31",FALSE
"10414",10414,"1877-1878","https://gallica.bnf.fr/ark:/12148/cb32811676c/date","Lyon","La Marionnette illustrée ",4,"cb32811676c",42,"1878-02-17","1878-03-31","1878-02-17","1878-03-31",FALSE
"10415",10415,"1882","https://gallica.bnf.fr/ark:/12148/cb32811823b/date","Berne, Genève","Les Marques internationales ",24,"cb32811823b",699,"1909-01-31","1910-12-31","1909-01-31","1910-12-31",FALSE
"10416",10416,"1944-19..","https://gallica.bnf.fr/ark:/12148/cb327501098/date","Strasbourg","Le Courrier d'Alsace Lorraine ",1,"cb327501098",30,"1944-07","1944-07","1944-07-01","1944-07-31",FALSE
"10417",10417,"1980","https://gallica.bnf.fr/ark:/12148/cb34451428c/date","Auch","",15,"cb34451428c",6557,"1980-09-13","1998-08-27","1980-09-13","1998-08-27",FALSE
"10418",10418,"1900-1900","https://gallica.bnf.fr/ark:/12148/cb328087613/date","Paris","Le Livre d'or illustré de l'Exposition universelle de 1900",1,"cb328087613",364,"1900","1900","1900-01-01","1900-12-31",FALSE
"10419",10419,"1941","https://gallica.bnf.fr/ark:/12148/cb32758006w/date","Djibouti","Djibouti libre",2,"cb32758006w",32,"1941-08-12","1941-09-13","1941-08-12","1941-09-13",FALSE
"10420",10420,"1914-191.","https://gallica.bnf.fr/ark:/12148/cb32808742t/date","Paris","Le Livre d'or des héros et des braves de la défense nationale ",5,"cb32808742t",70,"1914-11-01","1915-01-10","1914-11-01","1915-01-10",FALSE
"10421",10421,"1842-1851","https://gallica.bnf.fr/ark:/12148/cb34395027j/date","Paris, Paris, Paris, Paris","Almanach icarien ",2,"cb34395027j",NA,"1843-1846","1847-1852","1843-1846","1847-1852",FALSE
"10422",10422,"1944","https://gallica.bnf.fr/ark:/12148/cb34444449v/date","Paris","Métro bus ",1,"cb34444449v",30,"1944-07","1944-07","1944-07-01","1944-07-31",FALSE
"10423",10423,"1942","https://gallica.bnf.fr/ark:/12148/cb32806894v/date","S. l.","Liberté socialiste",1,"cb32806894v",0,"1942-03-01","1942-03-01","1942-03-01","1942-03-01",FALSE
"10424",10424,"1899","https://gallica.bnf.fr/ark:/12148/cb32807685k/date","Alger","La Ligue",14,"cb32807685k",45,"1899-01-21","1899-03-07","1899-01-21","1899-03-07",FALSE
"10425",10425,"1845-1906","https://gallica.bnf.fr/ark:/12148/cb32809202f/date","London","The London journal and weekly record of literature",1,"cb32809202f",30,"1845-10","1845-10","1845-10-01","1845-10-31",FALSE
"10426",10426,"1905-19..","https://gallica.bnf.fr/ark:/12148/cb32807866v/date","Paris, Paris","La Ligue latine ",1,"cb32807866v",0,"1905-12-31","1905-12-31","1905-12-31","1905-12-31",FALSE
"10427",10427,"1893-1894","https://gallica.bnf.fr/ark:/12148/cb32809729v/date","Marseille","La Lune rousse ",10,"cb32809729v",62,"1893-12-22","1894-02-22","1893-12-22","1894-02-22",FALSE
"10428",10428,"1898-1898","https://gallica.bnf.fr/ark:/12148/cb328052761/date","Paris","Le Larbin ",3,"cb328052761",364,"1898","1898","1898-01-01","1898-12-31",FALSE
"10429",10429,"1915-1920","https://gallica.bnf.fr/ark:/12148/cb32809845c/date","Paris","La Lutte finale ",8,"cb32809845c",1339,"1916-12-15","1920-08-15","1916-12-15","1920-08-15",FALSE
"10430",10430,"19??","https://gallica.bnf.fr/ark:/12148/cb32809866b/date","S. l.","La Lutte sociale",4,"cb32809866b",683,"1940-11","1942-09-15","1940-11-01","1942-09-15",FALSE
"10431",10431,"19??","https://gallica.bnf.fr/ark:/12148/cb328116035/date","S. l.","Marianne",2,"cb328116035",30,"1944","1944-01","1944-01-01","1944-01-31",FALSE
"10432",10432,"1903-1907","https://gallica.bnf.fr/ark:/12148/cb32805566j/date","Paris","Les Lectures de la femme ",1,"cb32805566j",NA,"1904-04","1904-04","1904-04-01","1904-04-31",FALSE
"10433",10433,"1876-1876","https://gallica.bnf.fr/ark:/12148/cb32811677q/date","Saint Étienne","La Marionnette ",7,"cb32811677q",42,"1876-11-04","1876-12-16","1876-11-04","1876-12-16",FALSE
"10434",10434,"1943-1947","https://gallica.bnf.fr/ark:/12148/cb32811852x/date","Paris","La Marseillaise ",8,"cb32811852x",NA,"1943-08","1944-02","1943-08-01","1944-02-31",FALSE
"10435",10435,"1944-1944","https://gallica.bnf.fr/ark:/12148/cb32755014s/date","Paris","Délivrance ",1,"cb32755014s",365,"1944","1944","1944-01-01","1944-12-31",FALSE
"10436",10436,"1940-194?","https://gallica.bnf.fr/ark:/12148/cb328060819/date","","Lettre française",7,"cb328060819",149,"1941-04-29","1941-09-25","1941-04-29","1941-09-25",FALSE
"10437",10437,"1880-1889","https://gallica.bnf.fr/ark:/12148/cb32808684g/date","Paris","Le Livre ",20,"cb32808684g",3652,"1880","1889","1880-01-01","1889-12-31",FALSE
"10438",10438,"1899-1900","https://gallica.bnf.fr/ark:/12148/cb32804868t/date","Lagny","Lagny artiste ",2,"cb32804868t",729,"1899","1900","1899-01-01","1900-12-31",FALSE
"10439",10439,"1944-1944","https://gallica.bnf.fr/ark:/12148/cb34445205x/date","Nice","Pour que vive la France ",2,"cb34445205x",-31,"1944-05","1944-03","1944-05-01","1944-03-31",FALSE
"10440",10440,"1837-1837","https://gallica.bnf.fr/ark:/12148/cb327640707/date","Paris","L'Eclaireur du commerce",1,"cb327640707",0,"1837-05-07","1837-05-07","1837-05-07","1837-05-07",FALSE
"10441",10441,"1869-1869","https://gallica.bnf.fr/ark:/12148/cb32751192w/date","Paris","Le Courrier du commerce français anglo",2,"cb32751192w",21,"1869-02-27","1869-03-20","1869-02-27","1869-03-20",FALSE
"10442",10442,"1849-186.","https://gallica.bnf.fr/ark:/12148/cb32809441w/date","Paris","La Loupe de l'horloger bon temps ",4,"cb32809441w",4382,"1852","1863","1852-01-01","1863-12-31",FALSE
"10443",10443,"1942","https://gallica.bnf.fr/ark:/12148/cb327618921/date","Saint Denis","L'Echo des travailleurs",1,"cb327618921",30,"1942-12","1942-12","1942-12-01","1942-12-31",FALSE
"10444",10444,"1901-19..","https://gallica.bnf.fr/ark:/12148/cb327622693/date","Lorient","L'Écho du monastère ",1,"cb327622693",0,"1901-04-01","1901-04-01","1901-04-01","1901-04-01",FALSE
"10445",10445,"1931-1931","https://gallica.bnf.fr/ark:/12148/cb32808606p/date","Moscou Léningrad","Littérature de la révolution mondiale ",6,"cb32808606p",121,"1931-09","1931","1931-09-01","1931-12-31",FALSE
"10446",10446,"19??","https://gallica.bnf.fr/ark:/12148/cb32809852n/date","S. l.","La Lutte ouvrière",2,"cb32809852n",30,"1943-07","1943-07","1943-07-01","1943-07-31",FALSE
"10447",10447,"1866-18..","https://gallica.bnf.fr/ark:/12148/cb328081425/date","Paris","La Liquidation ",1,"cb328081425",30,"1866-08","1866-08","1866-08-01","1866-08-31",FALSE
"10448",10448,"1973-1974","https://gallica.bnf.fr/ark:/12148/cb34385798s/date","Saintes","Recueil de la Société d'archéologie et d'histoire de la Charente Maritime et Groupe de recherches archéologiques de Saintes",1,"cb34385798s",364,"1973","1973","1973-01-01","1973-12-31",FALSE
"10449",10449,"1857-1857","https://gallica.bnf.fr/ark:/12148/cb32809010h/date","Perpignan","La Loge ",3,"cb32809010h",14,"1857-10-31","1857-11-14","1857-10-31","1857-11-14",FALSE
"10450",10450,"1870-19..","https://gallica.bnf.fr/ark:/12148/cb34410403z/date","Paris","L'Ameublement ",1,"cb34410403z",30,"1875-01","1875-01","1875-01-01","1875-01-31",FALSE
"10451",10451,"19??","https://gallica.bnf.fr/ark:/12148/cb32811626t/date","Paris","Le Marin combattant ",12,"cb32811626t",NA,"1934-10","1940-04","1934-10-01","1940-04-31",FALSE
"10452",10452,"1944-1944","https://gallica.bnf.fr/ark:/12148/cb32811855z/date","","La Marseillaise ",5,"cb32811855z",164,"1944-02","1944-07-14","1944-02-01","1944-07-14",FALSE
"10453",10453,"1944-194.","https://gallica.bnf.fr/ark:/12148/cb32811836p/date","Marseille","Le Marseillais ",3,"cb32811836p",-15,"1944-03","1944-02-15","1944-03-01","1944-02-15",FALSE
"10454",10454,"1929-1936","https://gallica.bnf.fr/ark:/12148/cb32812008g/date","Lille","Martin et Martine ",18,"cb32812008g",2373,"1929-10","1936-03","1929-10-01","1936-03-31",FALSE
"10455",10455,"1905-19..","https://gallica.bnf.fr/ark:/12148/cb327652465/date","Nancy","L'Éducation sociale ",4,"cb327652465",NA,"1905-05","1907-04","1905-05-01","1907-04-31",FALSE
"10456",10456,"188.-188.","https://gallica.bnf.fr/ark:/12148/cb32753310r/date","Paris","Le Croque mort ",1,"cb32753310r",364,"1887","1887","1887-01-01","1887-12-31",FALSE
"10457",10457,"1895-1900","https://gallica.bnf.fr/ark:/12148/cb32809810q/date","Bruxelles, Bruxelles, Paris, Paris, Bruxelles","La Lutte ",9,"cb32809810q",775,"1896-12","1899-01-15","1896-12-01","1899-01-15",FALSE
"10458",10458,"1842-1843","https://gallica.bnf.fr/ark:/12148/cb32813029p/date","Paris","La Mélodie ",52,"cb32813029p",364,"1842-07-30","1843-07-29","1842-07-30","1843-07-29",FALSE
"10459",10459,"1796-1796","https://gallica.bnf.fr/ark:/12148/cb32764096x/date","Paris","L'Éclaireur du peuple",1,"cb32764096x",365,"1796","1796","1796-01-01","1796-12-31",FALSE
"10460",10460,"1941","https://gallica.bnf.fr/ark:/12148/cb32766691b/date","S. l.","En avant",2,"cb32766691b",10,"1941-05-23","1941-06-02","1941-05-23","1941-06-02",FALSE
"10461",10461,"1943","https://gallica.bnf.fr/ark:/12148/cb32810259f/date","S. l.","M",7,"cb32810259f",122,"1943-10","1944-01","1943-10-01","1944-01-31",FALSE
"10462",10462,"191.-19..","https://gallica.bnf.fr/ark:/12148/cb32808044k/date","Limoges","Le Limousin hippique ",7,"cb32808044k",3651,"1913","1922","1913-01-01","1922-12-31",FALSE
"10463",10463,"1869-1870","https://gallica.bnf.fr/ark:/12148/cb327490403/date","Paris","Le Correspondant des conservateurs des hypothèques et des notaires ",1,"cb327490403",30,"1869-07","1869-07","1869-07-01","1869-07-31",FALSE
"10464",10464,"1898-1898","https://gallica.bnf.fr/ark:/12148/cb32751497f/date","Paris","Courrier littéraire",1,"cb32751497f",0,"1898-04-15","1898-04-15","1898-04-15","1898-04-15",FALSE
