"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"1885",1885,"1794-1803","https://gallica.bnf.fr/ark:/12148/cb32725246b/date","Paris, Paris, Paris, Paris, Paris","Bulletin de littérature",91,"cb32725246b",1094,"1794","1796-12-30","1794-01-01","1796-12-30",FALSE
"1886",1886,"1882-1898","https://gallica.bnf.fr/ark:/12148/cb327254864/date","Vouziers","Le Bulletin de Vouziers ",746,"cb327254864",5698,"1882-12-31","1898-08-07","1882-12-31","1898-08-07",FALSE
"1887",1887,"1855-1857","https://gallica.bnf.fr/ark:/12148/cb32693788f/date","Paris, Paris","Les Annales de la Bourse ",105,"cb32693788f",742,"1855-10-27","1857-11-07","1855-10-27","1857-11-07",FALSE
"1888",1888,"1819-1921","https://gallica.bnf.fr/ark:/12148/cb32693936r/date","Angoulême","Annales de la Société d'agriculture",58,"cb32693936r",NA,"1819-","1900","1819-","1900-12-31",FALSE
"1889",1889,"1869-1891","https://gallica.bnf.fr/ark:/12148/cb32694303c/date","Paris, Paris","Annales des sciences géologiques ",22,"cb32694303c",8399,"1869","1891","1869-01-01","1891-12-31",FALSE
"1890",1890,"1808-1816","https://gallica.bnf.fr/ark:/12148/cb326945315/date","Paris","Annales forestières ",67,"cb326945315",2495,"1808","1814-10","1808-01-01","1814-10-31",FALSE
"1891",1891,"1897-1913","https://gallica.bnf.fr/ark:/12148/cb326941970/date","Gap, Gap","Annales des Alpes ",22,"cb326941970",6268,"1897-11","1914","1897-11-01","1914-12-31",FALSE
"1892",1892,"1832-1960","https://gallica.bnf.fr/ark:/12148/cb327259615/date","Paris","Bulletin des contributions directes et du cadastre",266,"cb327259615",41668,"1832","1946-01","1832-01-01","1946-01-31",FALSE
"1893",1893,"1914-1956","https://gallica.bnf.fr/ark:/12148/cb32726060k/date","Paris","Bulletin des écrivains de ",68,"cb32726060k",7032,"1914-11-01","1934-02-01","1914-11-01","1934-02-01",FALSE
"1894",1894,"1893-19..","https://gallica.bnf.fr/ark:/12148/cb327263654/date","Neuilly","Bulletin des nominations",140,"cb327263654",6025,"1893-07-08","1910-01-06","1893-07-08","1910-01-06",FALSE
"1895",1895,"1832-1843","https://gallica.bnf.fr/ark:/12148/cb326933692/date","Saint Quentin, Saint Quentin","Annales agricoles du département de l'Aisne ",12,"cb326933692",4078,"1831-11","1842","1831-11-01","1842-12-31",FALSE
"1896",1896,"1912-1937","https://gallica.bnf.fr/ark:/12148/cb326934309/date","Paris, Avignon","Annales d'Avignon et du Comtat venaissin ",8,"cb326934309",639,"1912-01-15","1913-10-15","1912-01-15","1913-10-15",FALSE
"1897",1897,"1921-1939","https://gallica.bnf.fr/ark:/12148/cb32726471b/date","Paris","Le Bulletin des philatélistes ",88,"cb32726471b",4839,"1925-05","1938-07","1925-05-01","1938-07-31",FALSE
"1898",1898,"1915-1920","https://gallica.bnf.fr/ark:/12148/cb327265212/date","Paris","Bulletin des réfugiés du Pas de",494,"cb327265212",2048,"1915-05-23","1920-12-30","1915-05-23","1920-12-30",TRUE
"1899",1899,"1865-1866","https://gallica.bnf.fr/ark:/12148/cb32726576b/date","Lyon","Bulletin des séances de l'Académie impériale des sciences",5,"cb32726576b",305,"1865-04","1866-01","1865-04-01","1866-01-31",FALSE
"1900",1900,"1877-1981","https://gallica.bnf.fr/ark:/12148/cb32726649q/date","Lyon","Bulletin des soies et des soieries de Lyon ",127,"cb32726649q",12774,"1881-01-08","1915","1881-01-08","1915-12-31",FALSE
"1901",1901,"1936-1951","https://gallica.bnf.fr/ark:/12148/cb32693495w/date","Paris","Annales de finances publiques comparées",5,"cb32693495w",1460,"1936","1939","1936-01-01","1939-12-31",FALSE
"1902",1902,"1879-1895","https://gallica.bnf.fr/ark:/12148/cb32727104m/date","Bourg","Bulletin du Comice agricole de l'arrondissement de Bourg",81,"cb32727104m",5540,"1879-12","1895-01","1879-12-01","1895-01-31",FALSE
"1903",1903,"1883-1923","https://gallica.bnf.fr/ark:/12148/cb32727273q/date","Paris","Bulletin du Comité des travaux historiques et scientifiques",56,"cb32727273q",14243,"1883","1921","1883-01-01","1921-12-31",FALSE
"1904",1904,"1890-1900","https://gallica.bnf.fr/ark:/12148/cb32728215s/date","Paris","Bulletin du Syndicat des employés du commerce et de l'industrie  ",60,"cb32728215s",2099,"1894-07","1900-03","1894-07-01","1900-03-31",FALSE
"1905",1905,"1793-1795","https://gallica.bnf.fr/ark:/12148/cb32728618x/date","A Paris","Bulletin du Tribunal criminel révolutionnaire",441,"cb32728618x",1094,"1793","1795","1793-01-01","1795-12-31",TRUE
"1906",1906,"1920-1939","https://gallica.bnf.fr/ark:/12148/cb32694945z/date","Paris","L'Année aéronautique ",22,"cb32694945z",7304,"1919","1938","1919-01-01","1938-12-31",FALSE
"1907",1907,"1778-1788","https://gallica.bnf.fr/ark:/12148/cb32694668s/date","Paris, Paris, Paris","Annales poétiques ou Almanach des muses  ",40,"cb32694668s",4017,"1778","1788","1778-01-01","1788-12-31",FALSE
"1908",1908,"1871-1876","https://gallica.bnf.fr/ark:/12148/cb32693560h/date","Paris","Annales de l'Assemblée nationale ",41,"cb32693560h",2191,"1871","1876","1871-01-01","1876-12-31",FALSE
"1909",1909,"1922-1929","https://gallica.bnf.fr/ark:/12148/cb32730163n/date","Lille","Bulletin mensuel de la Fédération du Nord de la France des associations de mutilés",68,"cb32730163n",NA,"1922-02","1929-06","1922-02-01","1929-06-31",FALSE
"1910",1910,"1888-1898","https://gallica.bnf.fr/ark:/12148/cb32730343k/date","Paris","Bulletin de la Société chorale Les Enfants de Paris ",6,"cb32730343k",395,"1897-07","1898-07","1897-07-01","1898-07-31",FALSE
"1911",1911,"1878","https://gallica.bnf.fr/ark:/12148/cb32730626t/date","Paris","Bulletin",1405,"cb32730626t",21387,"1878-06","1936-12-21","1878-06-01","1936-12-21",FALSE
"1912",1912,"1888-1941","https://gallica.bnf.fr/ark:/12148/cb32730718g/date","Castres","Bulletin mensuel du Comice agricole de Castres",299,"cb32730718g",14121,"1895-12","1934-07","1895-12-01","1934-07-31",FALSE
"1913",1913,"1920-19..","https://gallica.bnf.fr/ark:/12148/cb327312604/date","Paris, Saint Étienne","Bulletin national des instituteurs et institutrices catholiques de l'enseignement public",158,"cb327312604",5752,"1920-10-01","1936-07-01","1920-10-01","1936-07-01",FALSE
"1914",1914,"1913-1932","https://gallica.bnf.fr/ark:/12148/cb32732284c/date","Aix les Bains, Chambéry","Bulletin des étrangers en séjour à Aix les",391,"cb32732284c",6831,"1913-05-01","1932-01-13","1913-05-01","1932-01-13",FALSE
