"","date","identifier","publisher","title"
"2962","1890-1894","https://gallica.bnf.fr/ark:/12148/cb32778185q/date","Paris","La France théâtrale "
"2963","1910-1939","https://gallica.bnf.fr/ark:/12148/cb32778440k/date","Douai, Arras","Le Fraterniste "
"2964","1919-1920","https://gallica.bnf.fr/ark:/12148/cb32770425r/date","Paris","L'Etoile rouge "
"2965","1908-1914","https://gallica.bnf.fr/ark:/12148/cb32778461j/date","Comines, Tourcoing, Roubaix","La Fraternité "
"2966","1910-1911","https://gallica.bnf.fr/ark:/12148/cb32778510x/date","Beausoleil","Fraternité "
"2967","1848-1857","https://gallica.bnf.fr/ark:/12148/cb32771718j/date","Paris","L'Éventail "
"2968","1874-1875","https://gallica.bnf.fr/ark:/12148/cb327788500/date","Paris","La Fronde "
"2969","1875-1876","https://gallica.bnf.fr/ark:/12148/cb32778855q/date","Marseille","La Fronde "
"2970","1900-19..","https://gallica.bnf.fr/ark:/12148/cb32779027h/date","Paris","Le Frou Frou "
"2971","1936-1936","https://gallica.bnf.fr/ark:/12148/cb32779244n/date","Paris","Futur "
"2972","1905-1907","https://gallica.bnf.fr/ark:/12148/cb32779436k/date","Avignoun","Lou Gai sabé "
"2973","1814-1895","https://gallica.bnf.fr/ark:/12148/cb32779538j/date","Paris","Galignani's messenger"
"2974","1861-1861","https://gallica.bnf.fr/ark:/12148/cb32761415g/date","Chaumont","L'Écho des concerts "
"2975","1841-1842","https://gallica.bnf.fr/ark:/12148/cb32769110v/date","Paris","Esprit des revues anglaises "
"2976","19??","https://gallica.bnf.fr/ark:/12148/cb32762388n/date","Malakoff","L'Écho du patronage Saint Joseph hors"
"2977","1934-1934","https://gallica.bnf.fr/ark:/12148/cb32776889j/date","Paris","Le Foyer guide"
"2978","1842-1842","https://gallica.bnf.fr/ark:/12148/cb327681082/date","Dijon","Éphémérides de Dijon et de la Côte d'Or "
"2979","1889-1890","https://gallica.bnf.fr/ark:/12148/cb32777603p/date","Marseille","La France du Midi "
"2980","1906-190.","https://gallica.bnf.fr/ark:/12148/cb32770104z/date","Roubaix","Les Étoffes nouveautés "
"2981","1876-1910","https://gallica.bnf.fr/ark:/12148/cb32777879g/date","Paris, Paris","La France judiciaire "
"2982","1906-1916","https://gallica.bnf.fr/ark:/12148/cb327774708/date","Paris","La France catholique "
"2983","1930-1934","https://gallica.bnf.fr/ark:/12148/cb327778784/date","Paris","La France judiciaire "
